record_id,utility_id_ferc1,report_year,plant_name_ferc1,fuel_type_code_pudl,fuel_unit,fuel_qty_burned,fuel_mmbtu_per_unit,fuel_cost_per_unit_burned,fuel_cost_per_unit_delivered,fuel_cost_per_mmbtu
f1_fuel_1994_12_1_0_7,1,1994,rockport,coal,ton,5377489.0,16.59,18.59,18.53,1.121
f1_fuel_1994_12_1_0_10,1,1994,rockport total plant,coal,ton,10486945.0,16.592,18.58,18.53,1.12
f1_fuel_1994_12_2_0_1,2,1994,gorgas,coal,ton,2978683.0,24.13,39.72,38.12,1.65
f1_fuel_1994_12_2_0_7,2,1994,barry,coal,ton,3739484.0,23.95,47.21,45.99,1.97
f1_fuel_1994_12_2_0_10,2,1994,chickasaw,gas,mcf,40533.0,1.0,2.77,2.77,2.57
f1_fuel_1994_12_2_0_13,2,1994,e. c. gaston-unit 5,coal,ton,2124933.0,23.921999999999997,44.24,43.25,1.85
f1_fuel_1994_12_2_1_1,2,1994,joseph m. farley,nuclear,kgU,2260.0,0.064094,28.77,0.0,0.45
f1_fuel_1994_12_2_1_10,2,1994,resondent's portion,coal,ton,5372133.0,24.84,58.54,55.13,2.36
f1_fuel_1994_12_2_2_10,2,1994,respondent's portion,coal,ton,817520.0,24.29,33.97,34.65,1.4
f1_fuel_1994_12_4_0_1,4,1994,units 1-3,coal,ton,1471233.0,22.484,28.73,28.11,1.278
f1_fuel_1994_12_4_0_2,4,1994,units 1-3,gas,mcf,262720.0,1.026,1.94,1.94,13.9
f1_fuel_1994_12_4_0_4,4,1994,unit 4,coal,ton,476779.0,22.428,28.71,28.11,1.28
f1_fuel_1994_12_4_0_5,4,1994,unit 4,gas,mcf,6673.0,1.026,1.94,1.94,1.9
f1_fuel_1994_12_6_0_1,6,1994,clinch river,coal,ton,1655558.0,25.038,30.248,29.019,1.208
f1_fuel_1994_12_6_0_2,6,1994,clinch river,oil,bbl,6510.0,5.875338,32.13,23.444,5.469
f1_fuel_1994_12_6_0_4,6,1994,amos-apco share,coal,ton,3520831.0,24.508,44.404,42.915,1.812
f1_fuel_1994_12_6_0_7,6,1994,amos-total,coal,ton,5327281.0,24.538,44.312,42.94,1.806
f1_fuel_1994_12_6_0_10,6,1994,glen lyn,coal,ton,666975.0,25.836000000000002,36.268,32.893,1.404
f1_fuel_1994_12_6_0_13,6,1994,kanawha river,coal,ton,391864.0,25.159999999999997,46.024,42.034,1.829
f1_fuel_1994_12_6_0_14,6,1994,kanawha river,oil,bbl,3505.0,5.774958000000001,33.321,26.28,5.77
f1_fuel_1994_12_6_1_7,6,1994,mountainr,coal,ton,2837040.0,24.526,39.911,38.717,1.627
f1_fuel_1994_12_6_1_8,6,1994,mountainr,oil,bbl,50013.0,5.845644,30.319,23.884,5.187
f1_fuel_1994_12_6_1_10,6,1994,philip sporn-apco,coal,ton,383043.0,24.334000000000003,39.85,35.856,1.638
f1_fuel_1994_12_6_1_11,6,1994,philip sporn-apco,oil,bbl,13969.0,5.74287,32.184,30.508,5.604
f1_fuel_1994_12_6_1_13,6,1994,philip sporn ttl plt,coal,ton,1338459.0,24.334000000000003,40.144,35.793,1.65
f1_fuel_1994_12_6_1_14,6,1994,philip sporn ttl plt,oil,bbl,48750.0,5.742827999999999,32.186,30.507,5.605
f1_fuel_1994_12_7_0_1,7,1994,"cholla units 1,2,3",coal,ton,2062799.0,19.970000000000002,31.52,31.2,1.58
f1_fuel_1994_12_7_0_2,7,1994,"cholla units 1,2,3",oil,bbl,10088.0,5.851019999999999,32.65,28.73,5.58
f1_fuel_1994_12_7_0_3,7,1994,"cholla units 1,2,3",gas,mcf,38086.0,0.880901,2.49,2.48,2.82
f1_fuel_1994_12_7_0_7,7,1994,4 corners,coal,ton,2599962.0,17.53,21.17,20.86,1.21
f1_fuel_1994_12_7_0_8,7,1994,4 corners,gas,mcf,230205.0,1.015424,2.69,2.69,2.65
f1_fuel_1994_12_7_0_10,7,1994,4 corners,coal,ton,867805.0,17.52,21.99,21.05,1.26
f1_fuel_1994_12_7_0_11,7,1994,4 corners,gas,mcf,45116.0,1.015048,2.98,2.98,2.94
f1_fuel_1994_12_7_0_13,7,1994,ocotillo 1&2,gas,mcf,2996148.0,1.021877,2.18,2.17,2.13
f1_fuel_1994_12_7_1_1,7,1994,saguaro units 1&2,oil,bbl,1639.0,5.915742,33.7,32.06,5.7
f1_fuel_1994_12_7_1_2,7,1994,saguaro units 1&2,gas,mcf,1759325.0,1.027979,2.21,2.2,2.15
f1_fuel_1994_12_7_1_4,7,1994,yucca 1,oil,bbl,477.0,6.257034,39.14,39.14,6.35
f1_fuel_1994_12_7_1_5,7,1994,yucca 1,gas,mcf,342285.0,1.023303,2.38,2.38,2.32
f1_fuel_1994_12_7_1_10,7,1994,"navajo 1,2,3",coal,ton,1063986.0,22.028,24.02,23.64,1.09
f1_fuel_1994_12_7_2_2,7,1994,yucca comb. turbine,gas,mcf,131028.0,1.023984,2.3,2.29,2.24
f1_fuel_1994_12_7_2_4,7,1994,douglas,oil,bbl,535.0,5.841863999999999,39.88,28.08,6.83
f1_fuel_1994_12_7_2_7,7,1994,ocotil 1&2,gas,mcf,313773.0,1.021088,2.54,2.53,2.49
f1_fuel_1994_12_7_2_11,7,1994,w. phx 1&2,gas,mcf,275636.0,1.020837,2.21,2.21,2.17
f1_fuel_1994_12_7_2_13,7,1994,saguaro 1&2,oil,bbl,34.0,5.81763,53.71,52.15,9.23
f1_fuel_1994_12_7_2_14,7,1994,saguaro 1&2,gas,mcf,168463.0,1.025843,1.93,1.92,1.88
